ghgrp_facility_id,oris_code
1007436,7928
1007438,55176
1007439,56908
1007442,No Match
1007445,55457
1007452,No Match
1007453,10361
1007454,55377
1007455,1295
1007456,57169
1007457,7845
1007466,880025
1007469,56476
1007471,613
1007500,3497
1007501,8063
1007503,3452
1007504,6146
1007505,6180
1007510,7995
1007518,880067
1007538,55381
1007542,10436
1007542,10692
1007549,2336
1007551,10803
1007570,55225
1007576,2330
1007581,56463
1007588,57250
1007596,2241
1007597,59
1007598,3506
1007609,273
1007617,56526
1007619,3504
1007627,10610
1007634,58250
1007635,57018
1007638,54925
1007639,3399
1007640,6041
1007643,10690
1007646,57016
1007648,50568
1007649,55074
1007650,609
1007659,55196
1007660,55251
1007671,56464
1007672,1971
1007673,56521
1007674,57022
1007676,527
1007677,50859
1007687,57019
1007689,56531
1007694,55857
1007699,50571
1007703,54539
1007704,56069
1007705,56525
1007709,56530
1007725,50576
1007726,54661
1007727,54700
1007729,57024
1007732,10525
1007738,59456
1007740,765
1007742,57017
1007743,54939
1007746,7848
1007749,7449
1007752,1032
1007753,56527
1007756,57411
1007758,No Match
1007759,No Match
1007760,No Match
1007761,54407
1007768,6089
1007772,2790
1007773,57872
1007781,10671
1007784,3492
1007788,1384
1007789,55400
1007790,3403
1007791,No Match
1007793,3944
1007795,50570
1007803,50931
1007812,56465
1007825,54915
1007829,47
1007832,57023
1007833,54926
1007834,55925
1007840,57020
1007842,3181
1007843,3946
1007844,50628
1007845,766
1007846,50803
1007848,No Match
1007852,56528
1007855,57168
1007864,10870
1007867,50296
1007870,7254
1007874,55966
1007878,56520
1007879,54663
1007884,54625
1007887,2880
1007889,57409
1007891,57408
1007893,57167
1007894,56524
1007896,56523
1007898,56522
1007908,54144
1007913,880038
1007914,10334
1007916,10788
1007917,10216
1007917,54429
1007919,50744
1007920,54593
1007930,1464
1007931,55433
1007940,6106
1007950,2860
1007955,52076
1007955,52081
1007955,52104
1007959,50625
1007962,56948
1007964,54763
1007967,No Match
1007973,54408
1007978,10213
1007979,55216
1007982,6246
1007989,57015
1008001,No Match
1008008,3461
1008012,50573
1008013,10603
1008020,55172
1008025,10233
1008028,6249
1008035,3991
1008042,56192
1008060,7502
1008168,55972
1008269,50566
1008271,55703
1008434,1866
1008459,55117
1008553,880101
1008708,50813
1008730,55701
1008787,62492
